ASSAY_DB_STAGING_ID,EXPORT_REQEUST_KEY,SEQUENCE_NO,STATUS,MANUFACTURER,CONTROL_LOT,CONTROL_LEVEL,CONTROL_EXPIRY_DATE,ASSAY_NAME,PRODUCT_TYPE,ASSAY_NUMBER,REAGENT_LOT_NO,BODY_FLUID,REAGENT_LOT_EXPIRY_DATE,MEAN,SD,LOW_SPEC,HIGH_SPEC,CONVENTIONAL_UNIT,REVISION_NO,REVISION_DATE,SENT_ON,SENT_BY,ERROR,IMPORTED_ON,EXPORTED ON
1472,4,1,1,Thermo Fisher,OIM19121,1,20211231,FT4,MW,32,4121,Serum,20210217,6.55,0.511,5.02,8.08,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1473,4,2,1,Thermo Fisher,OIM19122,2,20211231,FT4,MW,32,4121,Serum,20210217,20.8,1.41,16.6,25,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1474,4,3,1,Thermo Fisher,OIM19121,1,20211231,FT4,MW,32,4225,Serum,20201021,6.55,0.511,5.02,8.08,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1475,4,4,1,Thermo Fisher,OIM19122,2,20211231,FT4,MW,32,4225,Serum,20201021,20.8,1.41,16.6,25,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1476,4,5,1,Thermo Fisher,OIM19121,1,20211231,FT4,MW,32,4240,Serum,20201111,6.55,0.511,5.02,8.08,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1477,4,6,1,Thermo Fisher,OIM19122,2,20211231,FT4,MW,32,4240,Serum,20201111,20.8,1.41,16.6,25,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1478,4,7,1,Thermo Fisher,OIM19121,1,20211231,FT4,MW,32,4250,Serum,20201129,6.55,0.511,5.02,8.08,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1479,4,8,1,Thermo Fisher,OIM19122,2,20211231,FT4,MW,32,4250,Serum,20201129,20.8,1.41,16.6,25,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1480,4,9,1,Thermo Fisher,OIM19121,1,20211231,FT4,MW,32,4255,Serum,20201103,6.55,0.511,5.02,8.08,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1481,4,10,1,Thermo Fisher,OIM19122,2,20211231,FT4,MW,32,4255,Serum,20201103,20.8,1.41,16.6,25,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1482,4,11,1,Thermo Fisher,OIM19121,1,20211231,FT4,MW,32,4260,Serum,20201217,6.55,0.511,5.02,8.08,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1483,4,12,1,Thermo Fisher,OIM19122,2,20211231,FT4,MW,32,4260,Serum,20201217,20.8,1.41,16.6,25,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1484,4,13,1,Thermo Fisher,OIM19121,1,20211231,FT4,MW,32,4270,Serum,20210105,6.55,0.511,5.02,8.08,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1485,4,14,1,Thermo Fisher,OIM19122,2,20211231,FT4,MW,32,4270,Serum,20210105,20.8,1.41,16.6,25,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1486,4,15,1,Thermo Fisher,OIM19121,1,20211231,FT4,MW,32,4275,Serum,20210108,6.55,0.511,5.02,8.08,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1487,4,16,1,Thermo Fisher,OIM19122,2,20211231,FT4,MW,32,4275,Serum,20210108,20.8,1.41,16.6,25,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1488,4,17,1,Thermo Fisher,OIM19121,1,20211231,FT4,MW,32,4280,Serum,20210127,6.55,0.511,5.02,8.08,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1489,4,18,1,Thermo Fisher,OIM19122,2,20211231,FT4,MW,32,4280,Serum,20210127,20.8,1.41,16.6,25,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1490,4,19,1,Thermo Fisher,OIM19121,1,20211231,FT4,MW,32,4285,Serum,20210127,6.55,0.511,5.02,8.08,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1491,4,20,1,Thermo Fisher,OIM19122,2,20211231,FT4,MW,32,4285,Serum,20210127,20.8,1.41,16.6,25,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1492,4,21,1,Thermo Fisher,OIM19121,1,20211231,FT4,MW,32,4290,Serum,20210217,6.55,0.511,5.02,8.08,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1493,4,22,1,Thermo Fisher,OIM19122,2,20211231,FT4,MW,32,4290,Serum,20210217,20.8,1.41,16.6,25,pmol/L,1,20201018 18:10:59,18-Oct-20,NRUSSELL,,,
1494,5,1,1,Thermo Fisher,OIM19121,1,20211231,FT3,MW,30,2310,Serum,20201127,3.73,0.47,2.32,5.14,pmol/L,1,20201018 18:10:03,18-Oct-20,NRUSSELL,,,
1495,5,2,1,Thermo Fisher,OIM19122,2,20211231,FT3,MW,30,2310,Serum,20201127,7.34,0.617,5.49,9.19,pmol/L,1,20201018 18:10:03,18-Oct-20,NRUSSELL,,,
1496,5,3,1,Thermo Fisher,OIM19121,1,20211231,FT3,MW,30,2320,Serum,20201127,3.73,0.47,2.32,5.14,pmol/L,1,20201018 18:10:03,18-Oct-20,NRUSSELL,,,
1497,5,4,1,Thermo Fisher,OIM19122,2,20211231,FT3,MW,30,2320,Serum,20201127,7.34,0.617,5.49,9.19,pmol/L,1,20201018 18:10:03,18-Oct-20,NRUSSELL,,,
1498,5,5,1,Thermo Fisher,OIM19121,1,20211231,FT3,MW,30,2330,Serum,20201127,3.73,0.47,2.32,5.14,pmol/L,1,20201018 18:10:03,18-Oct-20,NRUSSELL,,,
1499,5,6,1,Thermo Fisher,OIM19122,2,20211231,FT3,MW,30,2330,Serum,20201127,7.34,0.617,5.49,9.19,pmol/L,1,20201018 18:10:03,18-Oct-20,NRUSSELL,,,
1500,5,7,1,Thermo Fisher,OIM19121,1,20211231,FT3,MW,30,2341,Serum,20201031,3.73,0.47,2.32,5.14,pmol/L,1,20201018 18:10:03,18-Oct-20,NRUSSELL,,,
